Date,Steps,Progress,Day,Cumulative,Goal
01/01/2024 0:00,4536,-9126,Monday,4536,13662
02/01/2024 0:00,4774,-18014,Tuesday,9310,27324
03/01/2024 0:00,14473,-17203,Wednesday,23783,40986
04/01/2024 0:00,19510,-11355,Thursday,43293,54648
05/01/2024 0:00,21414,-3603,Friday,64707,68310
06/01/2024 0:00,27147,9882,Saturday,91854,81972
07/01/2024 0:00,15092,11312,Sunday,106946,95634
08/01/2024 0:00,16962,14612,Monday,123908,109296
09/01/2024 0:00,16475,17425,Tuesday,140383,122958
10/01/2024 0:00,6540,10303,Wednesday,146923,136620
11/01/2024 0:00,15865,12506,Thursday,162788,150282
12/01/2024 0:00,16178,15022,Friday,178966,163944
13/01/2024 00:00,25469,26829,Saturday,204435,177606
14/01/2024 00:00,15800,28967,Sunday,220235,191268
15/01/2024 00:00,14332,29637,Monday,234567,204930
16/01/2024 00:00,22276,38251,Tuesday,256843,218592
17/01/2024 00:00,15034,39623,Wednesday,271877,232254
18/01/2024 00:00,13215,39176,Thursday,285092,245916
19/01/2024 00:00,20618,46132,Friday,305710,259578
20/01/2024 00:00,37770,70240,Saturday,343480,273240
21/01/2024 00:00,12619,69197,Sunday,356099,286902
22/01/2024 00:00,11550,67085,Monday,367649,300564
23/01/2024 00:00,15257,68680,Tuesday,382906,314226
24/01/2024 00:00,3852,58870,Wednesday,386758,327888
25/01/2024 00:00,18609,63817,Thursday,405367,341550
26/01/2024 00:00,12706,62861,Friday,418073,355212
27/01/2024 00:00,43161,92360,Saturday,461234,368874
28/01/2024 00:00,4779,83477,Sunday,466013,382536
29/01/2024 00:00,11924,81739,Monday,477937,396198
30/01/2024 00:00,15777,83854,Tuesday,493714,409860
31/01/2024 00:00,17785,87977,Wednesday,511499,423522
01/02/2024 0:00,8604,82919,Thursday,520103,437184
02/02/2024 0:00,10396,79653,Friday,530499,450846
03/02/2024 0:00,35883,101874,Saturday,566382,464508
04/02/2024 0:00,3855,92067,Sunday,570237,478170
05/02/2024 0:00,12063,90468,Monday,582300,491832
06/02/2024 0:00,18660,95466,Tuesday,600960,505494
07/02/2024 0:00,21171,102975,Wednesday,622131,519156
08/02/2024 0:00,13509,102822,Thursday,635640,532818
09/02/2024 0:00,7508,96668,Friday,643148,546480
10/02/2024 0:00,30738,113744,Saturday,673886,560142
11/02/2024 0:00,9738,109820,Sunday,683624,573804
12/02/2024 0:00,6347,102505,Monday,689971,587466
13/02/2024 00:00,11343,100186,Tuesday,701314,601128
14/02/2024 00:00,6707,93231,Wednesday,708021,614790
15/02/2024 00:00,9426,88995,Thursday,717447,628452
16/02/2024 00:00,14929,90262,Friday,732376,642114
17/02/2024 00:00,31057,107657,Saturday,763433,655776
18/02/2024 00:00,7471,101466,Sunday,770904,669438
19/02/2024 00:00,9195,96999,Monday,780099,683100
20/02/2024 00:00,21659,104996,Tuesday,801758,696762
21/02/2024 00:00,18449,109783,Wednesday,820207,710424
22/02/2024 00:00,10654,106775,Thursday,830861,724086
23/02/2024 00:00,14101,107214,Friday,844962,737748
24/02/2024 00:00,38482,132034,Saturday,883444,751410
25/02/2024 00:00,16370,134742,Sunday,899814,765072
26/02/2024 00:00,16512,137592,Monday,916326,778734
27/02/2024 00:00,16056,139986,Tuesday,932382,792396
28/02/2024 00:00,8733,135057,Wednesday,941115,806058
29/02/2024 00:00,13521,134916,Thursday,954636,819720
01/03/2024 0:00,17144,138398,Friday,971780,833382
02/03/2024 0:00,12252,136988,Saturday,984032,847044
03/03/2024 0:00,9931,133257,Sunday,993963,860706
04/03/2024 0:00,9088,128683,Monday,1003051,874368
05/03/2024 0:00,17588,132609,Tuesday,1020639,888030
06/03/2024 0:00,20678,139625,Wednesday,1041317,901692
07/03/2024 0:00,11518,137481,Thursday,1052835,915354
08/03/2024 0:00,10575,134394,Friday,1063410,929016
09/03/2024 0:00,36853,157585,Saturday,1100263,942678
10/03/2024 0:00,4197,148120,Sunday,1104460,956340
11/03/2024 0:00,8039,142497,Monday,1112499,970002
12/03/2024 0:00,15519,144354,Tuesday,1128018,983664
13/03/2024 00:00,15746,146438,Wednesday,1143764,997326
14/03/2024 00:00,8580,141356,Thursday,1152344,1010988
15/03/2024 00:00,7623,135317,Friday,1159967,1024650
16/03/2024 00:00,12587,134242,Saturday,1172554,1038312
17/03/2024 00:00,11287,131867,Sunday,1183841,1051974
18/03/2024 00:00,16192,134397,Monday,1200033,1065636
19/03/2024 00:00,15347,136082,Tuesday,1215380,1079298
20/03/2024 00:00,15800,138220,Wednesday,1231180,1092960
21/03/2024 00:00,15168,139726,Thursday,1246348,1106622
22/03/2024 00:00,14089,140153,Friday,1260437,1120284
23/03/2024 00:00,35343,161834,Saturday,1295780,1133946
24/03/2024 00:00,9157,157329,Sunday,1304937,1147608
25/03/2024 00:00,11806,155473,Monday,1316743,1161270
26/03/2024 00:00,17336,159147,Tuesday,1334079,1174932
27/03/2024 00:00,9462,154947,Wednesday,1343541,1188594
28/03/2024 00:00,13160,154445,Thursday,1356701,1202256
29/03/2024 00:00,71004,211787,Friday,1427705,1215918
30/03/2024 00:00,9920,208045,Saturday,1437625,1229580
31/03/2024 00:00,6609,200992,Sunday,1444234,1243242
01/04/2024 0:00,25673,213003,Monday,1469907,1256904
02/04/2024 0:00,10206,209547,Tuesday,1480113,1270566
03/04/2024 0:00,11948,207833,Wednesday,1492061,1284228
04/04/2024 0:00,18500,212671,Thursday,1510561,1297890
05/04/2024 0:00,15760,214769,Friday,1526321,1311552
06/04/2024 0:00,47765,248872,Saturday,1574086,1325214
07/04/2024 0:00,4020,239230,Sunday,1578106,1338876
08/04/2024 0:00,8074,233642,Monday,1586180,1352538
09/04/2024 0:00,19937,239917,Tuesday,1606117,1366200
10/04/2024 0:00,6675,232930,Wednesday,1612792,1379862
11/04/2024 0:00,15328,234596,Thursday,1628120,1393524
12/04/2024 0:00,13683,234617,Friday,1641803,1407186
13/04/2024 00:00,58450,279405,Saturday,1700253,1420848
14/04/2024 00:00,15161,280904,Sunday,1715414,1434510
15/04/2024 00:00,9568,276810,Monday,1724982,1448172
16/04/2024 00:00,9795,272943,Tuesday,1734777,1461834
17/04/2024 00:00,24569,283850,Wednesday,1759346,1475496
18/04/2024 00:00,11947,282135,Thursday,1771293,1489158
19/04/2024 00:00,16570,285043,Friday,1787863,1502820
20/04/2024 00:00,25439,296820,Saturday,1813302,1516482
21/04/2024 00:00,2623,285781,Sunday,1815925,1530144
22/04/2024 00:00,4097,276216,Monday,1820022,1543806
23/04/2024 00:00,6240,268794,Tuesday,1826262,1557468
24/04/2024 00:00,15840,270972,Wednesday,1842102,1571130
25/04/2024 00:00,12764,270074,Thursday,1854866,1584792
26/04/2024 00:00,10175,266587,Friday,1865041,1598454
27/04/2024 00:00,34347,287272,Saturday,1899388,1612116
28/04/2024 00:00,2227,275837,Sunday,1901615,1625778
29/04/2024 00:00,18064,280239,Monday,1919679,1639440
30/04/2024 00:00,23155,289732,Tuesday,1942834,1653102
01/05/2024 0:00,19363,295433,Wednesday,1962197,1666764
02/05/2024 0:00,13712,295483,Thursday,1975909,1680426
03/05/2024 0:00,14201,296022,Friday,1990110,1694088
04/05/2024 0:00,20610,302970,Saturday,2010720,1707750
05/05/2024 0:00,14410,303718,Sunday,2025130,1721412
06/05/2024 0:00,11055,301111,Monday,2036185,1735074
07/05/2024 0:00,12931,300380,Tuesday,2049116,1748736
08/05/2024 0:00,17042,303760,Wednesday,2066158,1762398
