Date,Daily_Total,Week_No,ID
2024-01-01,4536,1,1
2024-01-02,4774,1,2
2024-01-03,14473,1,3
2024-01-04,19510,1,4
2024-01-05,21414,1,5
2024-01-06,27147,1,6
2024-01-07,15092,1,7
2024-01-08,16962,2,8
2024-01-09,16475,2,9
2024-01-10,6540,2,10
2024-01-11,15865,2,11
2024-01-12,16178,2,12
2024-01-13,25469,2,13
2024-01-14,15800,2,14
2024-01-15,14332,3,15
2024-01-16,22276,3,16
2024-01-17,15034,3,17
2024-01-18,13215,3,18
2024-01-19,20618,3,19
2024-01-20,37770,3,20
2024-01-21,12619,3,21
2024-01-22,11550,4,22
2024-01-23,15257,4,23
2024-01-24,3852,4,24
2024-01-25,18609,4,25
2024-01-26,12706,4,26
2024-01-27,43161,4,27
2024-01-28,4779,4,28
2024-01-29,11924,5,29
2024-01-30,15777,5,30
2024-01-31,17785,5,31
2024-02-01,8604,5,32
2024-02-02,10396,5,33
2024-02-03,35883,5,34
2024-02-04,3855,5,35
2024-02-05,12063,6,36
2024-02-06,18660,6,37
2024-02-07,21171,6,38
2024-02-08,13509,6,39
2024-02-09,7508,6,40
2024-02-10,30738,6,41
2024-02-11,9738,6,42
2024-02-12,6347,7,43
2024-02-13,11343,7,44
2024-02-14,6707,7,45
2024-02-15,9426,7,46
2024-02-16,14929,7,47
2024-02-17,31057,7,48
2024-02-18,7471,7,49
2024-02-19,9195,8,50
2024-02-20,21659,8,51
2024-02-21,18449,8,52
2024-02-22,10654,8,53
2024-02-23,14101,8,54
2024-02-24,38482,8,55
2024-02-25,16370,8,56
2024-02-26,16512,9,57
2024-02-27,16056,9,58
2024-02-28,8733,9,59
2024-02-29,13521,9,60
2024-03-01,17144,9,61
2024-03-02,12252,9,62
2024-03-03,9931,9,63
2024-03-04,9088,10,64
2024-03-05,17588,10,65
2024-03-06,20678,10,66
2024-03-07,11518,10,67
2024-03-08,10575,10,68
2024-03-09,36853,10,69
2024-03-10,4197,10,70
2024-03-11,8039,11,71
2024-03-12,15519,11,72
2024-03-13,15746,11,73
2024-03-14,8580,11,74
2024-03-15,7623,11,75
2024-03-16,12587,11,76
2024-03-17,11287,11,77
2024-03-18,16192,12,78
2024-03-19,15347,12,79
2024-03-20,15800,12,80
2024-03-21,15168,12,81
2024-03-22,14089,12,82
2024-03-23,35343,12,83
2024-03-24,9157,12,84
2024-03-25,11806,13,85
2024-03-26,17336,13,86
2024-03-27,9462,13,87
2024-03-28,13160,13,88
2024-03-29,71004,13,89
2024-03-30,9920,13,90
2024-03-31,6609,13,91
2024-04-01,25673,14,92
2024-04-02,10206,14,93
2024-04-03,11948,14,94
2024-04-04,18500,14,95
2024-04-05,15760,14,96
2024-04-06,47765,14,97
2024-04-07,4020,14,98
2024-04-08,8074,15,99
2024-04-09,19937,15,100
2024-04-10,6675,15,101
2024-04-11,15328,15,102
2024-04-12,13683,15,103
2024-04-13,58450,15,104
2024-04-14,15161,15,105
2024-04-15,9568,16,106
2024-04-16,9795,16,107
2024-04-17,24569,16,108
